lambda_cc,gamma,grupo,sim_id,replica,distancia_a_centroide
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,1.957304383014682
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,3.358478316880392
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,1.7854310686687922
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,2.0373358132266968
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,3.1043813108403264
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,2.4951356223972585
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,2.121444442326928
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,2.8063373040471955
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,2.178888749022723
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,2.506267044749869
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,2.9314379539467974
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,3.3984113547062824
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,2.7479217382087353
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,2.7331283524100516
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,2.011578241179472
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,2.4093118103488433
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,3.482102061429847
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,2.596820136990937
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,2.535752864570139
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,3.3947181929995285
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,2.8120222120494587
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,3.098484439728722
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,2.6208417421756107
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.4628659683894885
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,3.9389847728771006
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.3357599089359296
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.0012110389846827
