lambda_cc,gamma,grupo,sim_id_1,replica_1,sim_id_2,replica_2,distancia
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,3.1852552461258066
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,2.9777896692998724
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,2.2972879802649864
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,2.9658999715146552
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,3.199882691388468
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,2.7932923676382364
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,3.7947581314781944
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,2.733535000514764
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,1.7573597617231047
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,3.618351811081853
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,3.74637148888218
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,3.174506754487219
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,2.7389879692426886
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,3.3342217135242826
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,3.5152108559639936
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,4.789179284895551
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,3.0256789378759343
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,2.916763424126345
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,4.5347678916300795
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,3.3830635605205543
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,3.0720054350190487
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.773603429720662
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,4.710939494373765
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.472681181669526
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.880561359178483
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,2.8690685086536907
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,4.789179284895551
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.790766187863045
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.264803125236905
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,4.364250147559356
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,3.3320373415011897
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,2.9451341952987566
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,3.6444136498788073
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,3.5083928786771317
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,4.815322225619686
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,3.924611988042813
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,2.9320929714118678
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,4.578586805411745
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,4.972792364439899
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,4.583229326571451
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,4.1992924437756365
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,3.5431925019241843
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,3.4806993428358646
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,5.951123673364755
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,4.423995320325716
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,3.845644443995647
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,6.041276073097192
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,5.459493438858168
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,4.075766028671882
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,4.60950201015597
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,5.986177697777614
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,5.935055872961479
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,5.917705641377279
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.592705302457426
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.951123673364755
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.890319996535976
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.4347362891027897
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,3.364703926126385
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,3.7622923414808165
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,3.69288563242936
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,3.45968906686691
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,3.425206598108262
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,2.6360080536658566
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,3.3412320343841064
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,2.758260413696401
