lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_mean,30,0.8355179523809523,0.01950017871585222,0.023339030191132464,0.82853990304569,0.8424960017162145,0.12660969191146254
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_std,30,0.2867640123060759,0.013458457226165638,0.04693216947948417,0.2819479652395762,0.2915800593725756,0.2946244203536642
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_cv,30,0.3431538590902632,0.012394161025924421,0.03611837867358578,0.3387186655277664,0.34758905265275997,0.26713821151923794
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_q10,30,0.5774114333333333,0.005726637726500141,0.009917776815469145,0.5753621823411768,0.5794606843254899,0.052655788814449066
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_q50,30,0.6940401500000001,0.02424943113557797,0.034939522065946714,0.6853626025127789,0.7027176974872212,0.2046404260079561
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_q90,30,1.3104911666666665,0.04301742088333541,0.03282541842136447,1.2950975803014488,1.3258847530318842,0.16647348992102393
-0.1,0.05,"lambda=-0.1, gamma=0.05",area_skew,30,1.0249867289507577,0.164522362057182,0.1605116997227834,0.9661131577944273,1.0838603001070881,0.24988855123920975
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_mean,30,3.4236221586483158,0.03806195224568686,0.011117451191142585,3.4100018639609195,3.437242453335712,0.09855231433718818
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_std,30,0.5229845340750272,0.023096340765801124,0.04416256937052699,0.5147196146773003,0.5312494534727541,0.3581977345857786
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_cv,30,0.15272765571471936,0.005788987082614254,0.03790398703838896,0.15065609329202018,0.15479921813741854,0.3323802029899364
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_q10,30,2.934830770554837,0.015144524459865343,0.005160271798909289,2.929411372077524,2.9402501690321503,0.045635475489587185
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_q50,30,3.1746196105895286,0.05658792105054553,0.017825102844380502,3.154369883106281,3.194869338072776,0.17277665893246974
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_q90,30,4.2808918738008135,0.06804282839698304,0.015894544969333887,4.256543060367686,4.305240687233941,0.13169899208742009
-0.1,0.05,"lambda=-0.1, gamma=0.05",perimeter_skew,30,0.8671257485676683,0.16588834033461894,0.19130828557292395,0.80776336836247,0.9264881287728667,0.2943697134446237
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_mean,30,3.8032462754138345,0.005857410586328598,0.0015401081502909638,3.8011502279547895,3.8053423228728795,0.30189817623710624
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_std,30,0.07530111073318205,0.004900568860163553,0.06507963577759122,0.07354746468842699,0.0770547567779371,0.491415914513778
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_q10,30,3.7164521368243553,0.007822881733131056,0.002104932727538252,3.713652754548267,3.7192515191004434,0.569928428481303
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_q50,30,3.7967715082931774,0.010974283659204609,0.002890425098069189,3.792844411320941,3.800698605265414,0.4738697701316625
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_q90,30,3.895003360668665,0.011393015106580202,0.0029250334471147502,3.890926422572376,3.899080298764954,0.4178139735046585
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_mean,30,1.316651665119703,0.017962195144907597,0.013642328962743967,1.310223976137095,1.3230793541023111,0.3027557917200778
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_std,30,0.1928597399306402,0.01651853531861597,0.085650511218965,0.18694865798215174,0.19877082187912867,0.46222694162545863
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_q10,30,1.1036494786589373,0.01255223004490132,0.011373384654839634,1.0991577208244474,1.108141236493427,0.5827142083199528
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_q50,30,1.282899353213012,0.019284802923692914,0.015032202546048735,1.2759983751151578,1.2898003313108661,0.3504914137300246
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_q90,30,1.5666132300730389,0.04535629720490131,0.0289518155050859,1.5503826875650706,1.5828437725810072,0.4265505803172235
-0.1,0.05,"lambda=-0.1, gamma=0.05",neighbors_mean,30,5.999489795918367,0.017019406542385505,0.0028368089823178496,5.993399479504339,6.005580112332396,1.2267461116951808
-0.1,0.05,"lambda=-0.1, gamma=0.05",neighbors_std,30,0.8634155885969818,0.062059916422346824,0.07187722487520973,0.8412077327179307,0.8856234444760328,0.6557577797130336
-0.1,0.05,"lambda=-0.1, gamma=0.05",center_x_std,30,3.6085698610038066,0.06189937545101335,0.017153436911373696,3.586419453973539,3.630720268034074,0.14549610681746628
-0.1,0.05,"lambda=-0.1, gamma=0.05",center_y_std,30,3.5868912736358873,0.04985854084222735,0.013900209690963884,3.569049623933548,3.6047329233382266,0.11535194544334816
-0.1,0.05,"lambda=-0.1, gamma=0.05",xy_corr,30,0.005504099081360362,0.0229212483664834,4.164396030606759,-0.0026981643059538858,0.01370636246867461,0.8335125970707556
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_4,30,0.010544217687074831,0.008779246268409719,0.8326123880362765,0.00740260475726214,0.013685830616887521,0.927268038531537
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_5,30,0.28248299319727893,0.026340578729198254,0.09324660019728219,0.27305713815410015,0.2919088482404577,0.7158968230857756
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_6,30,0.4585034013605442,0.04819281686625996,0.10510896260148686,0.4412578233277317,0.47574897939335664,0.721144259216224
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_7,30,0.20017006802721088,0.02698693173700534,0.1348200158144362,0.19051291853067376,0.209827217523748,1.0786519291297245
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_8,30,0.042006802721088435,0.011344073288482272,0.2700532426569869,0.03794737822948065,0.04606622721269622,0.6499246445885425
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_mean,30,0.6322929190476192,0.012339636742576383,0.019515696555898108,0.6278772367493378,0.6367086013459006,0.0801181173281714
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_std,30,0.27287303115612926,0.012547800772414184,0.04598402678069982,0.26838285831644304,0.2773632039958155,0.274688879056537
