lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
-0.1,0.05,"lambda=-0.1, gamma=0.05",neighbors_mean,30,5.999489795918367,0.017019406542385505,0.0028368089823178496,5.993399479504339,6.005580112332396,1.2267461116951808
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_7,30,0.20017006802721088,0.02698693173700534,0.1348200158144362,0.19051291853067376,0.209827217523748,1.0786519291297245
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_4,30,0.010544217687074831,0.008779246268409719,0.8326123880362765,0.00740260475726214,0.013685830616887521,0.927268038531537
-0.1,0.05,"lambda=-0.1, gamma=0.05",xy_corr,30,0.005504099081360362,0.0229212483664834,4.164396030606759,-0.0026981643059538858,0.01370636246867461,0.8335125970707556
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_6,30,0.4585034013605442,0.04819281686625996,0.10510896260148686,0.4412578233277317,0.47574897939335664,0.721144259216224
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_5,30,0.28248299319727893,0.026340578729198254,0.09324660019728219,0.27305713815410015,0.2919088482404577,0.7158968230857756
-0.1,0.05,"lambda=-0.1, gamma=0.05",neighbors_std,30,0.8634155885969818,0.062059916422346824,0.07187722487520973,0.8412077327179307,0.8856234444760328,0.6557577797130336
-0.1,0.05,"lambda=-0.1, gamma=0.05",frac_neighbors_8,30,0.042006802721088435,0.011344073288482272,0.2700532426569869,0.03794737822948065,0.04606622721269622,0.6499246445885425
-0.1,0.05,"lambda=-0.1, gamma=0.05",elongation_q10,30,1.1036494786589373,0.01255223004490132,0.011373384654839634,1.0991577208244474,1.108141236493427,0.5827142083199528
-0.1,0.05,"lambda=-0.1, gamma=0.05",shape_q10,30,3.7164521368243553,0.007822881733131056,0.002104932727538252,3.713652754548267,3.7192515191004434,0.569928428481303
-0.1,0.08,"lambda=-0.1, gamma=0.08",xy_corr,30,-0.007901021263297501,0.030127814078214254,3.8131544105781043,-0.01868212107088448,0.002880078544289476,1.095573511306528
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_7,30,0.19693877551020406,0.025372605683863923,0.12883499259164066,0.18785930517272317,0.20601824584768494,1.0141282578789594
