sim_id,replica,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.0247976376013908,True
sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.474287914014193,True
sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",1.8469976572435753,True
sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.107588772303489,True
sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.2114289422486326,True
sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.5811747817902737,True
sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.1945976989588907,True
sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.9031075559108874,True
sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.2540228438166174,True
sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.5926900462929607,True
sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.0325220213242665,True
sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.5155979531444217,True
sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.8426776602159425,True
sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.8273741576655698,True
sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.080943008116689,True
sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.492391527947081,True
sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.602174546306744,True
sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.6863656589561438,True
sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.6231926185208385,True
sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.511777441033993,True
sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.90898849522358,True
sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.2053287307538505,True
sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.7112155953540737,True
sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.582275139713266,True
sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",4.074811834010797,True
sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",4.485268871313027,True
sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.1047010748117443,True
sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",3.602174546306744,True
sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",4.252170176490038,True
sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,-0.1,0.05,"lambda=-0.1, gamma=0.05","lambda=-0.1, gamma=0.05",2.1087731921640307,True
sim__lam_m0p1__gam_0p08__rep_000__20260531_145508_585546,0,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.655696043466138,True
sim__lam_m0p1__gam_0p08__rep_001__20260531_145527_036433,1,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.924318917632819,True
sim__lam_m0p1__gam_0p08__rep_002__20260531_145543_733987,2,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",3.0475263704015485,True
sim__lam_m0p1__gam_0p08__rep_003__20260531_145600_741740,3,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.4489532342687284,True
sim__lam_m0p1__gam_0p08__rep_004__20260531_145617_076186,4,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.6133096601842127,True
sim__lam_m0p1__gam_0p08__rep_005__20260531_145635_358942,5,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.7407961808926338,True
sim__lam_m0p1__gam_0p08__rep_006__20260531_145652_967841,6,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.832069203638744,True
sim__lam_m0p1__gam_0p08__rep_007__20260531_145708_218092,7,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.6334257142292548,True
sim__lam_m0p1__gam_0p08__rep_008__20260531_145723_506177,8,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",2.466529100501223,True
sim__lam_m0p1__gam_0p08__rep_009__20260531_145740_346805,9,-0.1,0.08,"lambda=-0.1, gamma=0.08","lambda=-0.1, gamma=0.08",1.8208510757163208,True
