,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
neighbors_mean,0.043186969971226626,0.15116037351039943,0.3187509584547682,0.7197665213265788,0.05893878441976654,-0.09128089338764243,-0.4500941809864259,0.187468122302812,0.20354175899046312,-0.08374823983044426
frac_neighbors_7,0.07316822948593331,0.03089799117802967,0.6893951560913384,0.11308838814993065,-0.12067539771261057,0.08090898982678218,0.4615282637338705,0.0993017834841593,-0.09444700841352437,0.0255253015132596
frac_neighbors_4,0.08675515848837953,0.22716786474031314,-0.11782389346961303,0.14202914159110838,0.6827841991060953,-0.10326761807056976,0.48347752645514736,-0.04782252536268823,0.05463410882866113,-0.10060743837820242
elongation_q10,0.17937708213377662,-0.0474045336492828,-0.0292104711008816,-0.048289741718816385,-0.08702439721206981,-0.0021680380232466647,0.08897161184555319,-0.15508026169843475,0.6565234755093917,0.4487439376905876
frac_neighbors_5,0.14829772122903428,0.16495449029677034,0.08769034927094857,-0.24717330798067993,-0.2423754663208108,0.5117082552786734,-0.09251263374468541,0.024813803499659965,0.05657022934091722,-0.10045392167296079
xy_corr,0.010137264979617845,-0.07915309200781695,0.5116918001136872,-0.44884526684335224,0.4933332289946922,-0.09860487070869026,-0.4301435913099723,-0.2665460785852712,0.014915692131221224,0.10383553419636311
perimeter_cv,-0.061162906782050726,0.4650948026316417,0.021378299286621764,-0.1089849752567834,-0.1779525523420875,-0.29724048122470736,0.0007576411393244198,-0.13433322735218314,0.03711465704915835,-0.08403349304842775
shape_std,0.16462557596442998,0.2212104920916025,-0.04345054922256831,-0.11046059928884491,0.146700446727932,-0.022561194244302307,-0.015783047827988343,0.3604839464329668,-0.31470716863023857,0.4077226663669668
elongation_std,0.18902386500663967,0.01885035793764158,-0.0063497121015225946,-0.11220137467581758,-0.036895588327418835,-0.15434000989158847,-0.12147716513647117,0.401610549328569,-0.25869357346054633,-0.020992602647456136
frac_neighbors_6,-0.16114128815976733,-0.21337334749616907,-0.2060748501746825,0.056738191340938375,0.025277318815066032,-0.39598450595357676,-0.10162919120807953,-0.034439688581447137,-0.040717099557099116,0.0888471752970541
area_cv,-0.12857396352782793,0.3716142386432371,0.023750856203016143,-0.1478311501589325,-0.12848194948543942,-0.19644826050483893,-0.03682580693886562,-0.06683450174462618,0.0326628967397463,-0.22349274713458722
frac_neighbors_8,0.12426651734780035,0.24682452325958731,-0.29272296799808367,0.13350478132453877,0.20354729585247153,0.34553799309025574,-0.3122642312855549,-0.10171469510987069,-0.04235080749578868,0.08187563224530482
shape_q10,0.17061313115479748,-0.21256582982661168,-0.018248256560147908,-0.07891006994115436,0.029622810225425986,-0.2057863001453874,0.03243677533879272,0.09383584001602,0.2567055567520553,-0.33674867294536087
perimeter_skew,-0.19111118563439114,-0.10496588326555183,-0.002879354280573387,-0.10242470293263822,0.08177205319850034,0.07076095755519404,-0.06378027974979471,0.13079904087965563,0.02949399211604626,-0.3219785747795201
shape_q90,0.19343770320381182,0.0236565090193262,-0.021992761097983305,-0.0875185583152125,0.05348887950356827,-0.10598567369274783,0.000872068592252523,0.31963604840721227,0.05352608149067686,0.11064802354893538
area_skew,-0.19230770096093616,-0.09753877878546445,-0.007099280483209967,-0.09071405828332073,0.09485243003772754,0.08158300645455674,-0.061895716610563076,0.14860130571672422,0.04584014178840141,-0.3058235680936652
perimeter_std,0.15698047171983526,0.2954657573106853,0.0007101084204325231,-0.02842429756875819,-0.13667515246637896,-0.23744769507137076,-0.008794280442594397,-0.20737363720910207,-0.04691520424718819,-0.09403934997323588
neighbors_std,0.157920796935133,0.2673001069684776,-0.05676002688833775,-0.02697767410284561,0.17076398044407376,0.2817322925143356,0.02063343014031487,0.036345910257454886,0.16765128621180814,-0.20348169289348852
shape_q50,0.19371769613024548,-0.04368035324644093,-0.025705560301733286,-0.12513504799668132,0.03201012077356134,-0.0036370827302808963,0.02630729904014679,0.16341461577008323,0.1740336154741574,-0.2652679048102108
elongation_q50,0.19672829298384506,-0.03599659364406094,-0.029246653018672186,-0.04614511789981253,-0.06182879232963621,-0.09328430326379673,-0.02291187903095851,0.05020198460445138,0.24801555500179792,-0.020554976753743154
elongation_q90,0.19481105194954765,0.012852682134897403,-0.005294862569354531,-0.10199855828679938,-0.052622724445725425,-0.1366414118761678,-0.10016205263072248,0.23993799253705825,0.028472483534811837,0.005022832708134858
area_std,0.19049311123635898,0.14348895639006173,-0.0032283127017583573,-0.0073693780992391995,-0.07923862157983258,-0.1261315281110278,-0.03774595903848725,-0.20262140533376813,-0.10085278427659469,-0.175446366339658
shape_mean,0.2004726583542403,-0.001720636789391385,-0.02642428661324419,-0.09885735676920834,0.04342640641693153,-0.058236014010532335,0.006383835748340116,0.17461377507891984,0.08391044107377923,-0.08032128712925085
center_y_std,0.20034660215371056,-0.058960260606229324,-0.01964768120949292,0.054315083135756184,-0.01679586804316695,-0.019329912205474566,0.0004883907952585702,-0.0863333184377015,-0.10701282543236525,0.0006052159425853179
area_q90,0.20006506243976008,0.00937214909359807,0.002532205852171624,0.014712473119085709,-0.04547535118485395,-0.06153450171519731,-0.030577348382475222,-0.19391918191576077,-0.12298621290319654,0.0025699385853061897
center_x_std,0.19979055080533573,-0.07429914209322423,-0.007348931375985289,0.037323889685025154,-0.027991060708069115,0.007473050096677227,0.009907997403053082,-0.11980586229596048,-0.06108159772172863,-0.03093778486296106
perimeter_q90,0.1997781972402946,0.016677834914987245,0.0024729502415922694,0.019781267356540393,-0.05914780375494982,-0.07738590262639661,-0.0113568666021894,-0.17899163654767114,-0.12428212496511631,0.02787698370561218
elongation_mean,0.19973591963553017,-0.015026473347036313,-0.019138543308097188,-0.07338572847500614,-0.048815689842637996,-0.10797311479800321,-0.037357577785073065,0.13819601361022288,0.14191281839811473,0.020876299439536308
perimeter_mean,0.19965178661732363,-0.08931456454637657,-0.010843364294425293,0.05475110790279516,-0.01272139546052793,-0.004043831406917743,-0.00539608632896377,-0.10886658402785752,-0.08956861881217386,-0.05358219018293867
area_mean,0.19849589906787607,-0.09725292801222583,-0.00917282187866177,0.06099117382557518,-0.011232834292011022,-0.006408837831638519,-0.007827654799972333,-0.128758107499754,-0.10790579138606413,-0.07124309803945715
area_q10,0.18548261303985117,-0.19764011233436213,-0.014452461872241676,0.059926924875333645,0.019548817673781603,0.05010543127227364,-0.005638156987268487,-0.10161112009092414,-0.12855676534334054,-0.1235795500767002
perimeter_q50,0.19650845961695781,-0.12428193843093142,-0.004236459885884545,0.06322869389711615,0.003578265695004087,0.025534094141967934,0.0017446277664782018,-0.08661588946702932,-0.07040646934694399,-0.050806295214828066
area_q50,0.19391258317362148,-0.14109849716726872,-0.0051817418129203735,0.06771962653991999,0.004252476195915992,0.027955923471901484,0.005490114642531737,-0.11760299839951446,-0.09918523524752164,-0.05084457662485865
perimeter_q10,0.19086680313967885,-0.16820240839336104,-0.012275382555740639,0.055956642368760176,0.013608132174308592,0.04314152656550657,-0.008665441846831712,-0.090815508992617,-0.10777440007340298,-0.09991733345428691
