sim_id,replica,init_id,grupo,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.9629387637613003,-2.943888200580003,-0.7380037175339896,-0.04270796996900424,0.02515095812981558,0.058291377169803996,0.41280463494774805,1.0002781295766117,-0.42882819592034405,0.18995967299439886
sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.984772886364133,-3.324800897743202,-1.7757750408974382,0.1805643257430213,-0.32021025343133946,-1.486496265980547,-0.9409632995472575,0.8047561117963993,0.9596062094341771,0.5615307088144696
sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.106462546199339,-1.712663179539489,1.0578144464048052,-0.3843464755454725,-0.18735955520545097,0.3269688117574983,0.3771044434074556,0.19735607458769958,-0.2535482285703742,-0.15883558665431657
sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.3704935249210206,-2.6583876402853046,-0.8442001897100793,0.19353282320113313,0.28730819589234174,-0.44923019721732477,-0.5168971844554069,-0.5049685368245282,-0.38480713209698564,-0.5392661807521936
sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.048064079358233,-3.3491470641053986,-0.8083078911104068,-1.3531509405768094,0.9652577704030865,-1.131245356422086,-0.9615113957022905,0.43007810082159587,-0.41488646520747835,0.037317525915982655
sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.682190435737032,-1.604226000106875,-1.791249275601804,0.1296280568182589,0.9524314950442379,0.44813052180769436,-0.7943016063607714,-0.6937091961664119,0.09225955792792961,-0.16512914160312253
sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.3717954946941235,-2.458110701675988,-1.1404812605953247,0.14875114329986028,-0.3052909418608383,0.14575004687125662,0.24599390330796117,-1.2306709250341408,0.3226795905752556,0.37429404652196796
sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.221170611570462,-1.827406491194162,1.55563101055651,1.7553488568393514,0.791132412550932,-0.3450728151903604,-0.46966115161813154,0.303125733070054,0.3408284274960349,-0.249157501383227
sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.302172078884726,-3.293619396260411,0.7795573720412432,0.2328446045167839,-1.0859651431609205,0.6380319763074621,0.2133109108749653,0.1436988521468977,0.6757824683929352,-0.2755391499975231
sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.056473518254726,-3.6698357305358047,-0.38436299833272103,-0.27455578430454963,0.7629078787205956,-0.2642031563324951,-0.283602632988169,1.3997863295313013,-0.0014613739691828223,-0.1545550209662199
sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.072150153351395,-2.678414019542182,1.076304863053395,-1.5675853251906666,0.036893305010591015,0.7482941356336279,-1.1873118525362012,0.5940248357590457,0.2155012624125839,-0.8663611470831937
