sim_id,replica,init_id,grupo,lambda_cc,gamma,silhouette
sim__lam_m0p1__gam_0p05__rep_000__20260531_144612_906110,0,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.3144113839772115
sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2699928804659275
sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.27895095868688136
sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2613826488020977
sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.28279523598527584
sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.23085689463337142
sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.296910993583734
sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2296802150913066
sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.34664920655924714
sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.3284973827525857
sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.28077917678483094
sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.19751702284569858
sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2602309230489056
sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2140646531259859
sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.3409758633990986
sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,0.2635067239930839
