sim_id,replica,init_id,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_m0p05__gam_0p07__rep_000__20260601_173116_321769,0,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,5.069021620306455,False
sim__lam_m0p05__gam_0p07__rep_001__20260601_173131_819150,1,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,5.926007713734536,False
sim__lam_m0p05__gam_0p07__rep_002__20260601_173147_206700,2,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,6.986966284861502,False
sim__lam_m0p05__gam_0p07__rep_003__20260601_173203_186297,3,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,4.337829902416581,True
sim__lam_m0p05__gam_0p07__rep_004__20260601_173219_821133,4,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,4.46188297041389,True
sim__lam_m0p05__gam_0p07__rep_005__20260601_173236_924024,5,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,6.9185126687166,True
sim__lam_m0p05__gam_0p07__rep_006__20260601_173253_178150,6,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,6.5530992518573745,False
sim__lam_m0p05__gam_0p07__rep_007__20260601_173310_253572,7,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,4.749147167334393,False
sim__lam_m0p05__gam_0p07__rep_008__20260601_173327_293189,8,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,5.126254425738842,False
sim__lam_m0p05__gam_0p07__rep_009__20260601_173343_509696,9,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,7.22969742193537,False
sim__lam_m0p05__gam_0p07__rep_010__20260601_173400_545392,10,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,3.2630342421500877,False
sim__lam_m0p05__gam_0p07__rep_011__20260601_173416_922619,11,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,5.9296467850544685,False
sim__lam_m0p05__gam_0p07__rep_012__20260601_173433_252504,12,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,5.414684686209717,True
sim__lam_m0p05__gam_0p07__rep_013__20260601_173451_865403,13,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,6.030971388408512,False
sim__lam_m0p05__gam_0p07__rep_014__20260601_173508_796146,14,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,2.8810952325026764,True
sim__lam_m0p05__gam_0p07__rep_015__20260601_173525_757423,15,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,3.264760759127755,True
sim__lam_m0p05__gam_0p07__rep_016__20260601_173542_486347,16,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,4.223002400171527,False
sim__lam_m0p05__gam_0p07__rep_017__20260601_173559_495774,17,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,3.881235705633294,False
sim__lam_m0p05__gam_0p07__rep_018__20260601_173616_713249,18,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,4.967976064332919,False
sim__lam_m0p05__gam_0p07__rep_019__20260601_173635_408914,19,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,3.881235705633294,False
sim__lam_m0p05__gam_0p07__rep_020__20260601_173653_184061,20,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,3.463235527228045,False
sim__lam_m0p05__gam_0p07__rep_021__20260601_173711_952815,21,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,4.752146146319776,False
sim__lam_m0p05__gam_0p07__rep_022__20260601_173729_680474,22,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,3.982202610215346,False
sim__lam_m0p05__gam_0p07__rep_023__20260601_173745_696223,23,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,8.327330384109452,False
sim__lam_m0p05__gam_0p07__rep_024__20260601_173804_136465,24,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_perfect,3.9319954953314378,True
sim__lam_m0p05__gam_0p07__rep_025__20260601_173821_374552,25,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_1,5.9296467850544685,False
sim__lam_m0p05__gam_0p07__rep_026__20260601_173837_872320,26,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,6.9431569688859955,False
sim__lam_m0p05__gam_0p07__rep_027__20260601_173855_259100,27,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,5.007206790108646,False
sim__lam_m0p05__gam_0p07__rep_028__20260601_173912_688109,28,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_2000,3.2630342421500877,False
sim__lam_m0p05__gam_0p07__rep_029__20260601_173928_943020,29,hexagonal_perfect_14x14.dat,-0.05,0.07,I_perfect,I_1000_2,4.752485203515989,False
sim__lam_m0p05__gam_0p07__rep_000__20260601_173945_748981,0,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,8.255780601262,False
sim__lam_m0p05__gam_0p07__rep_001__20260601_174001_892688,1,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,4.607069872091971,False
sim__lam_m0p05__gam_0p07__rep_002__20260601_174018_316765,2,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,4.49492554935221,False
sim__lam_m0p05__gam_0p07__rep_003__20260601_174035_259999,3,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,8.166684142984689,False
sim__lam_m0p05__gam_0p07__rep_004__20260601_174053_082625,4,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.837039886499307,False
sim__lam_m0p05__gam_0p07__rep_005__20260601_174108_288021,5,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,2.066448743158155,True
sim__lam_m0p05__gam_0p07__rep_006__20260601_174125_931091,6,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_2000,6.718919355461549,True
sim__lam_m0p05__gam_0p07__rep_007__20260601_174141_196783,7,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,3.9127400008974385,False
sim__lam_m0p05__gam_0p07__rep_008__20260601_174156_514958,8,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,7.363408766189586,False
sim__lam_m0p05__gam_0p07__rep_009__20260601_174213_582878,9,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,4.607069872091971,False
sim__lam_m0p05__gam_0p07__rep_010__20260601_174229_337042,10,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_2,4.773979957109649,False
sim__lam_m0p05__gam_0p07__rep_011__20260601_174245_060808,11,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_perfect,9.124379435328287,False
sim__lam_m0p05__gam_0p07__rep_012__20260601_174301_792105,12,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,3.7420235641797195,False
