,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
xy_corr,-0.03979970438502797,0.030712896694052038,0.04009010328124042,-0.1437726652143829,0.15078550541712818,0.047944147971034315,-0.34513467874569087,-0.39892703483308944,0.16409938526565943,0.6738870319335604
neighbors_mean,0.08164003244482487,0.03909602306243022,-0.13801549021960693,0.14479435958495693,0.04439120301509119,0.09317015568179698,-0.04138891710479527,0.6259147730707201,-0.29149076556789555,0.2830479872912957
area_q10,-0.09562180625436884,-0.04734750170514167,-0.28689762502996846,-0.03088033658565386,0.13940608872013846,0.5110912487177395,-0.07668072775810808,-0.04551549101843598,-0.00259568000781535,-0.15769409504487863
elongation_q10,-0.020670221490552004,0.18472328961398884,0.043454467010475145,0.2920064537072998,0.005343265978748862,0.1678238963561128,0.01457796187962458,0.15685305324569157,0.5094529238082258,0.11549225324325395
perimeter_q10,-0.08726313353042237,0.017012345361203208,-0.2864481988171595,-0.03498983150232162,0.19703295330264486,0.5056901369989023,-0.01007403848527734,-0.03210410966479549,-0.03784272793551247,-0.11867103693855384
frac_neighbors_7,0.008519348417833196,0.09624038954970218,-0.06415706533439071,-0.1891895376579325,0.5038291385187129,-0.21450620707706763,-0.15214255319956832,0.3231654468656234,0.15793244924167488,-0.042954217988497585
frac_neighbors_6,-0.06565220015907125,0.06081169916742895,-0.2707829263470255,0.23948063883455542,-0.4317336453165082,-0.03363949907867513,-0.14625460291418127,-0.17004271643471874,-0.12416897990717074,0.009875698957547084
center_x_std,0.18532241245871012,-0.09258104330118073,-0.0877963028883007,-0.06600809790904343,-0.05710964693933378,0.039786528075581785,0.42526239594522,-0.1351279157468589,0.08358117093840467,0.24196207791907628
frac_neighbors_5,-0.0024272134104901207,-0.1299679298494214,0.22575530399358176,-0.07519037773909434,0.39091997622240354,-0.01907990368157787,0.3966740107676076,-0.2083452035483198,-0.06248970598618376,0.005346454194832704
frac_neighbors_8,0.08191246488394584,-0.10762559429377888,0.19908263265305529,-0.030186268677596502,-0.3393293541742569,0.374993744236864,0.17412608044692865,-0.00025007122216421984,-0.057453563632157034,0.15211295154938742
center_y_std,0.16801532844979536,-0.06382673337147685,-0.1352615776357045,-0.12468904832896503,0.05927145262295558,-0.04301094642062222,-0.3002065435979926,-0.19715379897322602,0.17351400180363513,-0.3683530855007135
neighbors_std,0.09879635098430946,-0.10050982141543648,0.3632621603383603,-0.10941542209668328,-0.0020801592047577627,0.24768863840828306,0.09281203593325545,0.16692731175110997,0.059416188878417424,0.003703444316261246
elongation_std,0.15639363819404373,0.28876295078408776,0.009471682028617411,-0.054740229605230124,0.02518586867967819,0.004665021479471261,-0.027482610758461968,-0.14659063268721886,-0.35730579561754133,-0.10339438390711224
elongation_mean,0.12354702558499309,0.3441004258214866,0.040149649917044374,0.19218916179484927,0.04817403675757557,0.04632632569079994,0.030367568975692094,-0.014799180990376597,-0.048377268923445765,0.03588902669043605
frac_neighbors_4,0.08804808044995124,0.022623298272623386,0.24227564375546093,-0.2272783628621179,-0.23113262576992122,0.20391509392759796,-0.29080640527128293,0.20480827342786176,0.3410386627365482,-0.12876227939907917
shape_q10,-0.0011545755472296864,0.24392724940551624,-0.09028364681432352,0.2559137048321403,-0.10032359434884595,-0.16213800647999083,0.059571431540722135,-0.10006985488231535,0.3168248303925693,-0.05773704210849687
elongation_q90,0.14027732076899438,0.30182662437805274,0.02506208930046321,0.05083687990637572,0.05517126494588013,-0.01636541523548152,-0.07859698349541597,-0.054855339024144294,-0.2802712035034554,-0.03696148750324655
shape_mean,0.16179500313977696,0.29674470610138554,0.18433418107585312,-0.0015946437479370875,0.0291565560966925,0.07663008092288792,-0.004051357246122733,-0.11851111617597745,0.046493556723431737,-0.1015238423636822
elongation_q50,0.09797195981307626,0.2909318441351217,0.06622571121831526,0.2851439667929991,0.07080413963979681,0.030900116176459113,0.079120921836166,0.11980477465182938,0.05020934552301301,0.09038594970775668
area_mean,0.280270873426,-0.08145512103255428,-0.20425670329316634,-0.03309739570951698,-0.0022100150064630164,0.04583054499465235,0.05277051733305666,0.0014698872935146304,-0.00095113858569093,-0.03855247547336379
perimeter_std,0.2799307681268208,-0.17633106375254456,0.015264057093019236,0.11583923734822196,0.01260110524198117,-0.05915301475565338,-0.05362573034965228,0.005451562908900656,0.0030016950550875356,-0.023971031119620446
perimeter_mean,0.27868023466486014,-0.02283594308156833,-0.2220709008546782,-0.044637980982787206,-0.0022644754650894957,0.06489580430137153,0.07228838271972017,-0.020500074055918718,0.010522655825616237,-0.05175656488202722
area_q90,0.23005432626647798,-0.16045409583842776,-0.04195518699464184,0.27149703248284185,0.12098337741079399,0.06904779491282739,-0.10127017745793533,-0.07096999393851353,0.030067447567824177,0.030084017875153045
area_skew,-0.2652149709596549,-0.011647302967184631,0.07788957708018121,0.182813647015385,0.15531946390461313,0.13670902295525275,-0.1310850707254462,-0.06825952823899406,-0.10906020673384821,0.05876531665531931
area_std,0.2635601599929744,-0.20373577021584952,0.013281098943331118,0.1314657009861468,0.062204936948254255,0.015021744808667897,-0.08048936774328722,0.000224774660194346,-0.05055766291379878,-0.008324310814012479
shape_q50,0.043294736569994774,0.1748309196587563,0.1992643658831738,0.19383243083011856,0.14669080358297057,0.14747745519674113,0.230306769599279,-0.14890082340084881,0.08796085208481091,-0.26266596582783863
area_q50,0.18079490148962502,0.12303437502346545,-0.26205595271634036,-0.21348894042227953,0.052529883498182335,0.020491783755293338,0.1489026013044381,0.002318008036833039,0.10362386893828818,0.16186165257477048
perimeter_q90,0.2330029411302282,-0.15250395903496167,-0.04739380249512111,0.2574204444384511,0.1146975542433635,0.05714537899538285,-0.11616389005660395,-0.09973642196084866,0.06111753015736543,0.052581952515431504
perimeter_skew,-0.2560305970122392,-0.033348255089834904,0.07187920347315423,0.21769769812066764,0.17231033737949553,0.15891404269656648,-0.13123734432713205,-0.08661905134101118,-0.11364757058668205,0.04570687514181466
perimeter_cv,0.2531077477730024,-0.20430544276553048,0.08343848162135363,0.15302197043303822,0.016684602630426277,-0.08846589607989433,-0.08584199323808898,0.011824578513021038,0.0009465840092591979,-0.01070355358574659
perimeter_q50,0.1969517084478218,0.16760528178119663,-0.24348869317458266,-0.15299116541850677,0.03137524406814858,0.049864390479589266,0.09197261404606503,0.002843342362276894,0.09033668818571017,0.15635169991275039
area_cv,0.18646080990156494,-0.2389991162273556,0.16324635003607946,0.21580753336670172,0.09447205563062783,-0.007556119598092398,-0.15508779485473917,-0.0022305202273155875,-0.07462377228345043,0.020913841288616765
shape_std,0.19033245431766876,0.14001718779537312,0.2076519908552474,-0.22742443191818768,-0.07801959542613432,0.13668322695168603,-0.17328313719166746,-0.02333380727305647,-0.13544255715575168,-0.011329150345120123
shape_q90,0.18068675090780342,0.22095983310247388,0.16871672386331654,-0.12455910046597059,0.021943534313139286,0.02530503409937338,-0.19568155853393196,-0.06389442169782868,-0.1622652250607346,0.08968750167412678
