sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p05__gam_0p07__rep_000__20260601_173116_321769,0,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.5531091594983344,1.3372598176994408,2.9797535705103404,-0.7586315483619559,-1.0311528713703668,1.331922842852763,0.7699094008254513,1.2915562285444633,1.5399477281987617,-0.6835594911999064
sim__lam_m0p05__gam_0p07__rep_001__20260601_173131_819150,1,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.060159095381343446,-0.8239202843128474,2.807185133731938,4.172450726155947,0.4421029751476904,0.9415047982254493,0.1089250549203388,1.3400906775183958,0.18733427388274046,-0.04468159945119922
sim__lam_m0p05__gam_0p07__rep_002__20260601_173147_206700,2,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-2.909438012584513,5.816364310095248,-0.5134182801215941,-0.5985751135936438,0.6199760202540918,-1.175471301231801,-0.2457695158063143,0.6996797196047192,1.755538857304125,-1.2262740211354413
sim__lam_m0p05__gam_0p07__rep_003__20260601_173203_186297,3,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.03864455396780777,1.4200005640719835,-0.7294144310386241,2.228412285101047,-1.116043805032002,-1.3087251307346106,-1.5707438654804806,0.7812895337371638,-1.3772508063755051,0.7831671534939266
sim__lam_m0p05__gam_0p07__rep_004__20260601_173219_821133,4,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-1.7962170807220987,1.7210823879522068,-0.3783496566534623,1.2872486245340764,2.5505053102924,0.1385288340546025,0.18856029359347734,-0.3425897856698276,-1.2349773921383183,-0.9244584152464633
sim__lam_m0p05__gam_0p07__rep_005__20260601_173236_924024,5,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.7812968182758205,4.003099606556967,-2.8731848040940777,4.376892591189189,0.08770369576055408,0.21605087275541796,1.9547694751151463,0.25571789411729956,0.3776311764338457,-0.5198094051752193
sim__lam_m0p05__gam_0p07__rep_006__20260601_173253_178150,6,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.190165351134496,1.5874232907583512,2.2953031077131176,-1.3510449192156655,-2.241558525975407,4.3317236242279265,-0.45993402133332634,2.0912826192322034,-1.3652470828286642,1.0421938299281683
sim__lam_m0p05__gam_0p07__rep_007__20260601_173310_253572,7,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,3.9870017725177873,1.865321052017156,1.496968207453471,1.0616296590214556,0.5000100167057208,0.0932553861360977,0.18580589969396796,0.5216516962892049,0.5301307030851897,0.052279563862409235
sim__lam_m0p05__gam_0p07__rep_008__20260601_173327_293189,8,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,2.920762898023659,-3.4551974392665006,2.405860804424748,-0.28014817184054036,1.5178994125425105,-0.10895612842035933,-0.024403454734898584,-2.3968573385459084,0.01272036738447772,0.5378707231837961
sim__lam_m0p05__gam_0p07__rep_009__20260601_173343_509696,9,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-4.17191684430583,2.2578905464920442,-1.1037116565806904,0.19146223257479128,-3.99365007876964,-3.1508797744436734,-0.7592829639116938,0.35673068523606805,0.04920635139662489,-1.8753096082548106
sim__lam_m0p05__gam_0p07__rep_010__20260601_173400_545392,10,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-1.4555501275120997,-0.13944389167859306,0.16449159591173532,0.5699263354720214,-0.5020465070190583,1.769578027449523,-0.12265898148755075,-1.5054929711821818,0.39652506542768734,-0.10286675566788242
sim__lam_m0p05__gam_0p07__rep_011__20260601_173416_922619,11,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,1.9347312597389,-0.686185142584872,-4.228428311999082,3.2650029866876262,-0.87776963359463,0.03187211931163728,-0.9127318843613907,-0.4411830254681023,0.3732735442220468,0.4535241950138256
sim__lam_m0p05__gam_0p07__rep_012__20260601_173433_252504,12,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-3.5746605957224635,3.239995985921718,-0.15759631130961846,2.089810691283848,1.6072771833396464,0.6242965276882015,0.0317442116994709,0.10239170546560351,0.31359876447984547,0.3777937812740971
sim__lam_m0p05__gam_0p07__rep_013__20260601_173451_865403,13,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,4.417880067150369,0.9704716627238027,3.2916328676090485,-0.4904818298901437,-0.7244978881468437,-2.4188826677987576,-1.6888763056608163,0.4574809584017351,-0.8977603225229879,0.9467731814657758
sim__lam_m0p05__gam_0p07__rep_014__20260601_173508_796146,14,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.19293946167448991,-0.10170611977312595,-1.187065469550256,1.098832275444651,0.6769235069839206,0.789988234954836,0.2939019068349181,0.16662218861361688,0.05586060717162114,0.6870377750920028
sim__lam_m0p05__gam_0p07__rep_015__20260601_173525_757423,15,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-2.264109560652536,0.07673204517923438,-0.2566650406743975,0.4614075018621909,0.4923039707834891,-1.4800858965453632,-0.6436500569889569,-0.2395992633696203,0.37888096963862095,0.8410663969855012
sim__lam_m0p05__gam_0p07__rep_016__20260601_173542_486347,16,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-3.284901925087951,1.3581612280996624,0.4650215842782403,0.12636987217133766,-2.2792601656382643,0.6408418216973171,-0.6527017985422978,0.5208863019272073,0.14020407726675937,0.2462062608011759
sim__lam_m0p05__gam_0p07__rep_017__20260601_173559_495774,17,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-2.567428803340857,-1.453935302125784,0.272554202173906,-2.2673091402384085,0.002435606410635814,0.027558279334928545,1.4241789104608782,-0.831000145857588,0.15706497017118695,0.217785508975023
sim__lam_m0p05__gam_0p07__rep_018__20260601_173616_713249,18,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-4.084131419666114,0.11429334936144041,-0.08867640191572494,-1.591191789650043,2.313348577181869,-0.9328315561884124,0.32223621001396013,0.8492294986552903,0.25468742285277696,0.715068096405234
sim__lam_m0p05__gam_0p07__rep_019__20260601_173635_408914,19,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-2.5674288033408565,-1.4539353021257837,0.27255420217390597,-2.2673091402384085,0.002435606410635476,0.02755827933492903,1.4241789104608786,-0.831000145857587,0.1570649701711867,0.21778550897502388
sim__lam_m0p05__gam_0p07__rep_020__20260601_173653_184061,20,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,1.1243782756307836,1.4778985215782812,-0.20665881706282122,-0.2107892456526629,-0.7307501344217419,1.2140542786471047,-0.3064495311904629,0.19416675162448105,-0.8086780249511774,-0.4205246496554544
