sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,silhouette
sim__lam_m0p05__gam_0p07__rep_000__20260601_173116_321769,0,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.015026212929524146
sim__lam_m0p05__gam_0p07__rep_001__20260601_173131_819150,1,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.013531764987995357
sim__lam_m0p05__gam_0p07__rep_002__20260601_173147_206700,2,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.01823712938941355
sim__lam_m0p05__gam_0p07__rep_003__20260601_173203_186297,3,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.03131066979640807
sim__lam_m0p05__gam_0p07__rep_004__20260601_173219_821133,4,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.029577621153897796
sim__lam_m0p05__gam_0p07__rep_005__20260601_173236_924024,5,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.04471266611442935
sim__lam_m0p05__gam_0p07__rep_006__20260601_173253_178150,6,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.032105737193653984
sim__lam_m0p05__gam_0p07__rep_007__20260601_173310_253572,7,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.05308505950197962
sim__lam_m0p05__gam_0p07__rep_008__20260601_173327_293189,8,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.1346428413315718
sim__lam_m0p05__gam_0p07__rep_009__20260601_173343_509696,9,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.006701265073574302
sim__lam_m0p05__gam_0p07__rep_010__20260601_173400_545392,10,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.006914227235027074
sim__lam_m0p05__gam_0p07__rep_011__20260601_173416_922619,11,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.011934946449370964
sim__lam_m0p05__gam_0p07__rep_012__20260601_173433_252504,12,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.04093066305565093
sim__lam_m0p05__gam_0p07__rep_013__20260601_173451_865403,13,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.08548475560524744
sim__lam_m0p05__gam_0p07__rep_014__20260601_173508_796146,14,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.002719315002379189
sim__lam_m0p05__gam_0p07__rep_015__20260601_173525_757423,15,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.0036888124348176494
sim__lam_m0p05__gam_0p07__rep_016__20260601_173542_486347,16,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.008821982701141904
sim__lam_m0p05__gam_0p07__rep_017__20260601_173559_495774,17,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.06394529151023921
sim__lam_m0p05__gam_0p07__rep_018__20260601_173616_713249,18,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.04696196555638985
sim__lam_m0p05__gam_0p07__rep_019__20260601_173635_408914,19,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.06394529151023921
sim__lam_m0p05__gam_0p07__rep_020__20260601_173653_184061,20,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.005045058774852001
sim__lam_m0p05__gam_0p07__rep_021__20260601_173711_952815,21,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.015559124307995003
sim__lam_m0p05__gam_0p07__rep_022__20260601_173729_680474,22,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.1023540787443724
sim__lam_m0p05__gam_0p07__rep_023__20260601_173745_696223,23,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.07951401240096562
sim__lam_m0p05__gam_0p07__rep_024__20260601_173804_136465,24,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.026937387913541288
sim__lam_m0p05__gam_0p07__rep_025__20260601_173821_374552,25,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.011934946449370964
sim__lam_m0p05__gam_0p07__rep_026__20260601_173837_872320,26,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.030511018979182652
sim__lam_m0p05__gam_0p07__rep_027__20260601_173855_259100,27,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.043136235484620755
sim__lam_m0p05__gam_0p07__rep_028__20260601_173912_688109,28,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.006914227235027074
sim__lam_m0p05__gam_0p07__rep_029__20260601_173928_943020,29,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-0.040832628070794956
sim__lam_m0p05__gam_0p07__rep_000__20260601_173945_748981,0,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.038721563311071364
sim__lam_m0p05__gam_0p07__rep_001__20260601_174001_892688,1,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.10214720376182815
sim__lam_m0p05__gam_0p07__rep_002__20260601_174018_316765,2,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.10524013519280276
sim__lam_m0p05__gam_0p07__rep_003__20260601_174035_259999,3,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.08109803898201882
sim__lam_m0p05__gam_0p07__rep_004__20260601_174053_082625,4,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.10065506243991909
sim__lam_m0p05__gam_0p07__rep_005__20260601_174108_288021,5,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.09232111753560605
sim__lam_m0p05__gam_0p07__rep_006__20260601_174125_931091,6,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.018122434315811124
sim__lam_m0p05__gam_0p07__rep_007__20260601_174141_196783,7,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.07706546897071123
sim__lam_m0p05__gam_0p07__rep_008__20260601_174156_514958,8,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.08670425183469097
sim__lam_m0p05__gam_0p07__rep_009__20260601_174213_582878,9,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.10214720376182815
sim__lam_m0p05__gam_0p07__rep_010__20260601_174229_337042,10,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.11463574090893804
sim__lam_m0p05__gam_0p07__rep_011__20260601_174245_060808,11,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.029598436739479532
sim__lam_m0p05__gam_0p07__rep_012__20260601_174301_792105,12,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.133278042344265
sim__lam_m0p05__gam_0p07__rep_013__20260601_174317_392030,13,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.1305176160412281
sim__lam_m0p05__gam_0p07__rep_014__20260601_174333_515711,14,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.0026236477984648266
sim__lam_m0p05__gam_0p07__rep_015__20260601_174351_507141,15,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.0026236477984648266
sim__lam_m0p05__gam_0p07__rep_016__20260601_174406_536141,16,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.07343300662278682
sim__lam_m0p05__gam_0p07__rep_017__20260601_174424_070118,17,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.018122434315811124
sim__lam_m0p05__gam_0p07__rep_018__20260601_174439_672677,18,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.08944841854004167
sim__lam_m0p05__gam_0p07__rep_019__20260601_174455_256265,19,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.056979687367828415
sim__lam_m0p05__gam_0p07__rep_020__20260601_174511_647141,20,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.04283168133223887
sim__lam_m0p05__gam_0p07__rep_021__20260601_174528_223513,21,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.0026236477984648266
sim__lam_m0p05__gam_0p07__rep_022__20260601_174543_826612,22,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.0707856118947388
sim__lam_m0p05__gam_0p07__rep_023__20260601_174602_230339,23,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.051796768597301875
sim__lam_m0p05__gam_0p07__rep_024__20260601_174617_704334,24,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.1005347092826458
sim__lam_m0p05__gam_0p07__rep_025__20260601_174634_362125,25,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.0026236477984648266
sim__lam_m0p05__gam_0p07__rep_026__20260601_174650_238488,26,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.038721563311071364
sim__lam_m0p05__gam_0p07__rep_027__20260601_174705_820560,27,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.07168406158630716
sim__lam_m0p05__gam_0p07__rep_028__20260601_174722_324178,28,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.09209071062798226
sim__lam_m0p05__gam_0p07__rep_029__20260601_174738_788316,29,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-0.038721563311071364
sim__lam_m0p05__gam_0p07__rep_000__20260601_174754_242064,0,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.03059401713760297
sim__lam_m0p05__gam_0p07__rep_001__20260601_174809_910337,1,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.022469290603320688
sim__lam_m0p05__gam_0p07__rep_002__20260601_174825_394733,2,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.005406026667426263
sim__lam_m0p05__gam_0p07__rep_003__20260601_174840_868167,3,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.07293321393358884
sim__lam_m0p05__gam_0p07__rep_004__20260601_174858_630341,4,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.11360265366163783
sim__lam_m0p05__gam_0p07__rep_005__20260601_174914_116777,5,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.012447982079174523
sim__lam_m0p05__gam_0p07__rep_006__20260601_174931_225107,6,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.08846782524554576
sim__lam_m0p05__gam_0p07__rep_007__20260601_174946_217214,7,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.12363939662678058
sim__lam_m0p05__gam_0p07__rep_008__20260601_175001_745557,8,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.07548619737798067
sim__lam_m0p05__gam_0p07__rep_009__20260601_175017_201034,9,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.12363939662678058
sim__lam_m0p05__gam_0p07__rep_010__20260601_175032_753036,10,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.08850831443879774
sim__lam_m0p05__gam_0p07__rep_011__20260601_175048_134462,11,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.05081196210832817
sim__lam_m0p05__gam_0p07__rep_012__20260601_175105_188300,12,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.14336664237013977
