idx,sim_id,lambda_real,gamma_real,lambda_pred,gamma_pred,lambda_abs_err,gamma_abs_err,cov_lambda_lambda,cov_lambda_gamma,cov_gamma_gamma,mahalanobis_d2,nll,ellipse_area_65,ellipse_area_90
0,sim__lam_m0p15__gam_0p03__rep_000__20260603_000617_296223,-0.15000000596046448,0.029999999329447746,-0.11661346116016436,0.026909051570887854,0.03338654480030012,0.003090947758559892,0.0008755270813413552,-8.416953901063299e-05,9.00450606438487e-06,1.2885665298600202,-7.991558617027139,0.00018647355272564378,0.0004089942598121034
1,sim__lam_m0p15__gam_0p031111111__rep_000__20260603_000634_222466,-0.15000000596046448,0.031111111864447594,-0.11998144777832653,0.02738582996324901,0.030018558182137944,0.003725281901198585,0.0008058534347249602,-6.90695415312833e-05,6.650690571227463e-06,2.9355388037106955,-7.320752644219593,0.00016006968576851079,0.0003510824011894582
2,sim__lam_m0p15__gam_0p032222222__rep_000__20260603_000651_536567,-0.15000000596046448,0.03222222253680229,-0.12465388090817253,0.029749477237936972,0.025346125052291946,0.00247274529886532,0.0008899225745136149,-9.424711001814419e-05,1.0885740034077178e-05,0.7713592530272111,-8.246564994553562,0.00018714555470243643,0.0004104681682944229
3,sim__lam_m0p15__gam_0p033333333__rep_000__20260603_000707_896744,-0.15000000596046448,0.03333333134651184,-0.11294715791421295,0.0289316630372074,0.03705284804625153,0.004401668309304441,0.0010293338964099828,-0.00011027891988617486,1.25644958386353e-05,1.5827046311832689,-7.862034241736716,0.00018323046740625941,0.00040188116918707183
5,sim__lam_m0p15__gam_0p035555556__rep_000__20260603_000739_113823,-0.15000000596046448,0.035555556416511536,-0.12478938964339292,0.0321839417801808,0.025210616317071555,0.003371614636330733,0.0008815245822011626,-9.026697930164154e-05,9.989788106426774e-06,1.5571258484914097,-7.954379785318362,0.00016921813004188625,0.0003711477731380826
6,sim__lam_m0p15__gam_0p036666667__rep_000__20260603_000754_827450,-0.15000000596046448,0.036666665226221085,-0.1016988855968175,0.031174998520175023,0.04830112036364698,0.005491666706046061,0.0011588331926526859,-0.00013693019677788273,1.7045358458794105e-05,2.0669919682489137,-7.48883770586126,0.00020888787245268645,0.00045815580562895934
8,sim__lam_m0p15__gam_0p038888889__rep_000__20260603_000825_945144,-0.15000000596046448,0.03888889029622078,-0.09841642954174823,0.03142025810138627,0.05158357641871625,0.0074686321948345125,0.001255376438064456,-0.00015165054338263836,1.914948310280124e-05,3.964094449540447,-6.521174806662423,0.0002129184590623275,0.0004669961305057215
9,sim__lam_m0p15__gam_0p04__rep_000__20260603_000841_512911,-0.15000000596046448,0.03999999910593033,-0.0942949889611957,0.0321734672004137,0.055705016999268775,0.007826531905516632,0.0013724745536939113,-0.00015458334132499514,1.822592664982852e-05,5.217838813623231,-5.858792518971504,0.0002206150608631121,0.0004838771622154128
10,sim__lam_m0p15__gam_0p041111111__rep_000__20260603_000857_242505,-0.15000000596046448,0.041111111640930176,-0.11284228948257224,0.034621501731527005,0.03715771647789223,0.006489609909403171,0.001126607344975794,-0.0001387390173375571,1.8135129140848553e-05,4.714316370824271,-6.082716812451385,0.00022684258180193662,0.0004975360445588319
11,sim__lam_m0p15__gam_0p042222222__rep_000__20260603_000912_195653,-0.15000000596046448,0.042222220450639725,-0.10133567380700015,0.03499656569237253,0.04866433215346433,0.007225654758267197,0.001156886581177789,-0.00013664015086150592,1.7112753643822745e-05,4.289198977440243,-6.319383742277025,0.0002214392026219511,0.0004856847603638351
