epoch,train_nll_normalized,test_nll_normalized
1,2.498090257675531,1.7953075170516968
2,1.107193122607045,0.6293959021568298
3,0.439724831281714,0.15101508796215057
4,0.0863000710070078,-0.17476166784763336
5,-0.10566366997501786,-0.2577416002750397
6,-0.21039248291509885,-0.40927863121032715
7,-0.3502495832238122,-0.4735800325870514
8,-0.4286449317133724,-0.512964129447937
9,-0.5039008811819233,-0.6260195970535278
10,-0.5386303992650776,-0.6854963898658752
11,-0.6032196609553201,-0.6522952914237976
12,-0.6453656533048949,-0.6069977283477783
13,-0.6577472339505734,-0.861404538154602
14,-0.6758440390325717,-0.8651053309440613
15,-0.8049539273806351,-0.8931837677955627
16,-0.8084850668796889,-0.9272534251213074
17,-0.7733008725680652,-0.8468626737594604
18,-0.8601519231769799,-0.8588716387748718
19,-0.8591325863768501,-0.7215583920478821
20,-0.7902138073945023,-1.0209707021713257
21,-0.9137722244095074,-0.9569119811058044
22,-0.8532523135583121,-1.00460684299469
23,-0.9432743987807733,-1.049604058265686
24,-0.9431154425556632,-0.9448972940444946
25,-1.0233825730240864,-0.9207762479782104
26,-0.9821388372550068,-1.0059280395507812
27,-1.0069697221928895,-0.7949187755584717
28,-0.9619240504409515,-1.0574158430099487
29,-1.0675422499512877,-1.1686345338821411
30,-1.0273927997704682,-1.1571649312973022
31,-1.103529635333662,-1.1845290660858154
32,-1.066592487728673,-1.205273151397705
33,-1.1459519372837728,-1.2109564542770386
34,-1.1461017666868762,-1.2250860929489136
35,-1.115622209962268,-1.064279556274414
36,-1.1085350642482181,-1.144941806793213
37,-1.1621948554491577,-1.098508358001709
38,-1.1669205438197485,-1.2671914100646973
39,-1.1342540717367549,-1.24160897731781
40,-1.0469857186768257,-1.1295417547225952
41,-1.2067179954459997,-1.2903428077697754
42,-1.2107289641682029,-1.0055886507034302
43,-1.2437211775978223,-1.1505874395370483
44,-1.2659503796274854,-1.3376983404159546
45,-1.1996549772841307,-1.287178874015808
46,-1.246580552371093,-1.212384581565857
47,-1.239186859108804,-1.1713640689849854
48,-1.225584940354544,-1.2836514711380005
49,-1.252179559660002,-1.2967380285263062
50,-1.2429840030987764,-1.2258014678955078
51,-1.2751297820397376,-1.3205947875976562
52,-1.2790199399104722,-1.1570062637329102
53,-1.2803615593005948,-1.3565003871917725
54,-1.2956816729299456,-1.198054313659668
55,-1.2616047160036579,-1.0762385129928589
56,-1.2841845723680607,-1.1343119144439697
57,-1.3188264268950993,-1.3868391513824463
58,-1.3117514945752746,-1.3685556650161743
59,-1.3416895809711735,-1.3486493825912476
60,-1.289496440197118,-1.112680196762085
61,-1.3144616166713832,-1.3988901376724243
62,-1.3419949131911821,-1.2347246408462524
63,-1.2905735285385795,-1.3700010776519775
64,-1.270609195424273,-1.3914108276367188
65,-1.3817034462885542,-1.403238296508789
66,-1.3480110354383823,-1.2821916341781616
67,-1.350905492127107,-1.3147865533828735
68,-1.362617250750398,-1.4320234060287476
69,-1.4135770526227853,-1.3630120754241943
70,-1.3064460168162724,-1.4192777872085571
71,-1.3685934207044632,-1.426958441734314
72,-1.3966738014724054,-1.3933428525924683
73,-1.4046084075366645,-1.4408835172653198
74,-1.4070400803647143,-1.3829373121261597
75,-1.4090738135504568,-1.4140030145645142
76,-1.378109634065937,-1.375744342803955
77,-1.4396855231901764,-1.4560989141464233
78,-1.3441380469254274,-1.4000213146209717
79,-1.4089009582720675,-1.424377679824829
80,-1.4531898429281287,-1.4510573148727417
81,-1.36023929734455,-1.4482061862945557
82,-1.407879078178688,-1.408215045928955
83,-1.4524636942186806,-1.43683660030365
84,-1.465974545964039,-1.2856467962265015
85,-1.3532294204563702,-1.4357633590698242
86,-1.4666975742793547,-1.2994983196258545
87,-1.4221615290002179,-1.361210584640503
88,-1.4089062840049738,-1.447432041168213
89,-1.420793630655555,-1.39155912399292
90,-1.45354756689204,-1.4438152313232422
91,-1.4984603529611635,-1.485071063041687
92,-1.4517094856715667,-1.5482975244522095
93,-1.5066118698225983,-1.4835549592971802
94,-1.5152921292872257,-1.5145996809005737
95,-1.4993991253223824,-1.4731117486953735
96,-1.4333959866628727,-1.251304030418396
97,-1.496552225883971,-1.4163603782653809
98,-1.5054876934257952,-1.4562795162200928
99,-1.5043937683987683,-1.329417109489441
100,-1.3856980232261706,-1.5016908645629883
101,-1.5360218329301705,-1.3798739910125732
102,-1.5010717755440315,-1.435915231704712
103,-1.5324582530214872,-1.479135513305664
104,-1.5152199353474802,-1.5504838228225708
105,-1.531309147922117,-1.484421968460083
106,-1.5503066630191433,-1.4818181991577148
107,-1.491579039884209,-1.38895583152771
108,-1.5361331075126654,-1.5811411142349243
